year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2035,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2036,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2037,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2038,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2039,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2040,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2041,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2042,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2043,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2044,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2045,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2046,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2047,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2048,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
