r,f,l,val
austria,fuel_electricity,mar_may_wd12,0.0490748498990452
austria,fuel_electricity,mar_may_wd18,0.0467991723111645
austria,fuel_electricity,mar_may_wd6,0.0446787463259347
austria,fuel_electricity,mar_may_we0,0.0171557714794571
austria,fuel_electricity,mar_may_we12,0.0187139873058088
austria,fuel_electricity,mar_may_we18,0.0178461904286034
austria,fuel_electricity,mar_may_we6,0.0170375965143657
austria,fuel_electricity,sep_nov_wd0,0.041782974999804
austria,fuel_electricity,sep_nov_wd12,0.0455780181428485
austria,fuel_electricity,sep_nov_wd18,0.0434644941157538
austria,fuel_electricity,sep_nov_wd6,0.041495159227839
austria,fuel_electricity,sep_nov_we0,0.0159333358197489
austria,fuel_electricity,sep_nov_we12,0.017380520871767
austria,fuel_electricity,sep_nov_we18,0.0165745589198723
austria,fuel_electricity,sep_nov_we6,0.0158235814198058
azerbaijan,fuel_electricity,dec_feb_wd0,0.0457887732199526
azerbaijan,fuel_electricity,dec_feb_wd12,0.0499476529990401
azerbaijan,fuel_electricity,dec_feb_wd18,0.0476315021655483
azerbaijan,fuel_electricity,dec_feb_wd6,0.0454733641062718
azerbaijan,fuel_electricity,dec_feb_we0,0.0174608892854387
azerbaijan,fuel_electricity,dec_feb_we12,0.0190468181991762
azerbaijan,fuel_electricity,dec_feb_we18,0.0181635874325928
azerbaijan,fuel_electricity,dec_feb_we6,0.0173406125619907
azerbaijan,fuel_electricity,jun_aug_wd0,0.0458983230309471
azerbaijan,fuel_electricity,jun_aug_wd12,0.0500671529454434
azerbaijan,fuel_electricity,jun_aug_wd18,0.0477454607124294
azerbaijan,fuel_electricity,jun_aug_wd6,0.0455821592997834
azerbaijan,fuel_electricity,jun_aug_we0,0.0175026645282875
azerbaijan,fuel_electricity,jun_aug_we12,0.0190923877828762
azerbaijan,fuel_electricity,jun_aug_we18,0.0182070438833839
azerbaijan,fuel_electricity,jun_aug_we6,0.0173821000423293
azerbaijan,fuel_electricity,mar_may_wd0,0.0415038840147342
azerbaijan,fuel_electricity,mar_may_wd12,0.0452735780214575
azerbaijan,fuel_electricity,mar_may_wd18,0.0431741713592152
azerbaijan,fuel_electricity,mar_may_wd6,0.0412179907192639
azerbaijan,fuel_electricity,mar_may_we0,0.0158269084916469
azerbaijan,fuel_electricity,mar_may_we12,0.0172644270155696
azerbaijan,fuel_electricity,mar_may_we18,0.016463848517464
azerbaijan,fuel_electricity,mar_may_we6,0.0157178872004304
azerbaijan,fuel_electricity,sep_nov_wd0,0.0423436623042737
azerbaijan,fuel_electricity,sep_nov_wd12,0.0461896312732133
azerbaijan,fuel_electricity,sep_nov_wd18,0.0440477457881398
azerbaijan,fuel_electricity,sep_nov_wd6,0.0420519843216985
azerbaijan,fuel_electricity,sep_nov_we0,0.0161471458491216
azerbaijan,fuel_electricity,sep_nov_we12,0.0176137507314866
azerbaijan,fuel_electricity,sep_nov_we18,0.0167969735460114
azerbaijan,fuel_electricity,sep_nov_we6,0.0160359186507801
bahamas,fuel_electricity,dec_feb_wd0,0.0457887732199526
bahamas,fuel_electricity,dec_feb_wd12,0.0499476529990401
bahamas,fuel_electricity,dec_feb_wd18,0.0476315021655483
bahamas,fuel_electricity,dec_feb_wd6,0.0454733641062718
bahamas,fuel_electricity,dec_feb_we0,0.0174608892854387
bahamas,fuel_electricity,dec_feb_we12,0.0190468181991762
bahamas,fuel_electricity,dec_feb_we18,0.0181635874325928
bahamas,fuel_electricity,dec_feb_we6,0.0173406125619907
bahamas,fuel_electricity,jun_aug_wd0,0.0458983230309471
bahamas,fuel_electricity,jun_aug_wd12,0.0500671529454434
bahamas,fuel_electricity,jun_aug_wd18,0.0477454607124294
bahamas,fuel_electricity,jun_aug_wd6,0.0455821592997834
bahamas,fuel_electricity,jun_aug_we0,0.0175026645282875
bahamas,fuel_electricity,jun_aug_we12,0.0190923877828762
bahamas,fuel_electricity,jun_aug_we18,0.0182070438833839
bahamas,fuel_electricity,jun_aug_we6,0.0173821000423293
bahamas,fuel_electricity,mar_may_wd0,0.0415038840147342
bahamas,fuel_electricity,mar_may_wd12,0.0452735780214575
bahamas,fuel_electricity,mar_may_wd18,0.0431741713592152
bahamas,fuel_electricity,mar_may_wd6,0.0412179907192639
bahamas,fuel_electricity,mar_may_we0,0.0158269084916469
bahamas,fuel_electricity,mar_may_we12,0.0172644270155696
bahamas,fuel_electricity,mar_may_we18,0.016463848517464
bahamas,fuel_electricity,mar_may_we6,0.0157178872004304
bahamas,fuel_electricity,sep_nov_wd0,0.0423436623042737
bahamas,fuel_electricity,sep_nov_wd12,0.0461896312732133
bahamas,fuel_electricity,sep_nov_wd18,0.0440477457881398
bahamas,fuel_electricity,sep_nov_wd6,0.0420519843216985
bahamas,fuel_electricity,sep_nov_we0,0.0161471458491216
bahamas,fuel_electricity,sep_nov_we12,0.0176137507314866
bahamas,fuel_electricity,sep_nov_we18,0.0167969735460114
bahamas,fuel_electricity,sep_nov_we6,0.0160359186507801
bahrain,fuel_electricity,dec_feb_wd0,0.0431047548358423
bahrain,fuel_electricity,dec_feb_wd12,0.0470198519363514
