year,iso_code3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp
2027,BLR,1.7666666666666666,1.7666666666666666,1.7666666666666666,1.1407577476566728,-0.14999999999999997,1.7666666666666666,-0.14999999999999997,1.7666666666666666,1.7666666666666666,1.7666666666666666,1.7666666666666666
2028,BLR,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.1346378455846435,-0.09999999999999998,1.7333333333333334,-0.09999999999999998,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.7333333333333334
2029,BLR,1.7,1.7,1.7,1.1285179435126143,-0.04999999999999999,1.7,-0.04999999999999999,1.7,1.7,1.7,1.7
2030,BLR,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.122398041440585,0.0,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
2031,BLR,1.6333333333333333,1.6333333333333333,1.6333333333333333,1.1162781393685557,0.050000000000000044,1.6333333333333333,0.050000000000000044,1.6333333333333333,1.6333333333333333,1.6333333333333333,1.6333333333333333
2032,BLR,1.6,1.6,1.6,1.1101582372965266,0.10000000000000009,1.6,0.10000000000000009,1.6,1.6,1.6,1.6
2033,BLR,1.5666666666666667,1.5666666666666667,1.5666666666666667,1.1040383352244973,0.15000000000000002,1.5666666666666667,0.15000000000000002,1.5666666666666667,1.5666666666666667,1.5666666666666667,1.5666666666666667
2034,BLR,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.097918433152468,0.20000000000000007,1.5333333333333332,0.20000000000000007,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5333333333333332
2035,BLR,1.5,1.5,1.5,1.0917985310804388,0.25,1.5,0.25,1.5,1.5,1.5,1.5
2036,BLR,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.0856786290084095,0.30000000000000004,1.4666666666666668,0.30000000000000004,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668
