Category Name,``$REGION$``,ISO Alpha 3,FAO Area Code,Latitude Population Centroid 2020,Longitude Population Centroid 2020,World Bank Global Region,UN Sub-Region,UN Region
Russian Federation,russia,RUS,185,53.775524342518,53.71719581287776,Europe & Central Asia,Eastern Europe,Europe
Rwanda,rwanda,RWA,184,-1.983135026542606,29.89430161555617,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Saint Kitts and Nevis,saint_kitts_and_nevis,KNA,188,17.273498652763813,-62.70216904715433,Latin America & Caribbean,Latin America and the Caribbean,Americas
Saint Lucia,saint_lucia,LCA,189,13.926167698550035,-60.96772245599938,Latin America & Caribbean,Latin America and the Caribbean,Americas
Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines,VCT,191,13.164088702705367,-61.20492387307547,Latin America & Caribbean,Latin America and the Caribbean,Americas
Saint-Martin (French part),saint_martin,MAF,281,18.08190092104542,-63.05715781399204,Latin America & Caribbean,Latin America and the Caribbean,Americas
Samoa,samoa,WSM,244,-13.828828147482175,-171.94684713689668,East Asia & Pacific,Polynesia,Oceania
San Marino,san_marino,SMR,192,43.94711424594843,12.466787040718192,Europe & Central Asia,Southern Europe,Europe
Sao Tome and Principe,sao_tome_and_principe,STP,193,0.3608785743559373,6.703130215826589,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Saudi Arabia,saudi_arabia,SAU,194,23.435500586910106,43.62978627333512,Middle East & North Africa,Western Asia,Asia
Senegal,senegal,SEN,195,14.499708098565076,-16.006493877436927,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Serbia,serbia,SRB,272,44.44736289944551,20.59664018862797,Europe & Central Asia,Southern Europe,Europe
Seychelles,seychelles,SYC,196,-4.650426549308673,55.44946175933634,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Sierra Leone,sierra_leone,SLE,197,8.394222041953562,-12.08838311226702,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Singapore,singapore,SGP,200,1.3622093452156692,103.8375065386843,East Asia & Pacific,South-eastern Asia,Asia
Sint Maarten (Dutch part),sint_maarten,SXM,280,18.040254868154207,-63.05943542290999,Latin America & Caribbean,Latin America and the Caribbean,Americas
Slovakia,slovakia,SVK,199,48.66675821498808,19.20640878140302,Europe & Central Asia,Eastern Europe,Europe
Slovenia,slovenia,SVN,198,46.15512890521768,14.863730526545831,Europe & Central Asia,Southern Europe,Europe
Solomon Islands,solomon_islands,SLB,25,-9.052032426698808,159.9966478501122,East Asia & Pacific,Melanesia,Oceania
Somalia,somalia,SOM,201,4.995151369054367,45.140906941161376,Sub-Saharan Africa,Sub-Saharan Africa,Africa
South Africa,south_africa,ZAF,202,-28.253497953224905,27.503895192541453,Sub-Saharan Africa,Sub-Saharan Africa,Africa
South Sudan,south_sudan,SSD,277,6.354929866213275,31.44868665683526,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Spain,spain,ESP,203,39.59072203555886,-3.143042093278336,Europe & Central Asia,Southern Europe,Europe
Sri Lanka,sri_lanka,LKA,38,7.203197104848449,80.42615758184478,South Asia,Southern Asia,Asia
Sudan,sudan,SDN,276,14.232392351021236,30.77776896989337,Sub-Saharan Africa,Northern Africa,Africa
Suriname,suriname,SUR,207,5.619515510224063,-55.316597596789485,Latin America & Caribbean,Latin America and the Caribbean,Americas
Sweden,sweden,SWE,210,58.81397895202915,15.540582388784635,Europe & Central Asia,Northern Europe,Europe
Switzerland,switzerland,CHE,211,47.01950723494038,7.949050312252444,Europe & Central Asia,Western Europe,Europe
Syrian Arab Republic,syrian_arab_republic,SYR,212,35.04964496313078,37.30191917773492,Middle East & North Africa,Western Asia,Asia
Tajikistan,tajikistan,TJK,208,38.71141632813895,69.21200903675478,Europe & Central Asia,Central Asia,Asia
Thailand,thailand,THA,216,14.120560220368322,101.01862393596755,East Asia & Pacific,South-eastern Asia,Asia
Timor-Leste,timor_leste,TLS,176,-8.756684886522919,125.65186841399886,East Asia & Pacific,South-eastern Asia,Asia
Togo,togo,TGO,217,7.718717869612588,1.0567941616717402,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Tonga,tonga,TON,219,-20.67844780335459,-175.045146499574,East Asia & Pacific,Polynesia,Oceania
Trinidad and Tobago,trinidad_and_tobago,TTO,220,10.52248654523896,-61.35454317087626,Latin America & Caribbean,Latin America and the Caribbean,Americas
Tunisia,tunisia,TUN,222,35.78307632813269,10.041592093408555,Middle East & North Africa,Northern Africa,Africa
Turkey,turkey,TUR,223,39.29952339891436,32.82518656483593,Europe & Central Asia,Western Asia,Asia
Turkmenistan,turkmenistan,TKM,213,38.845711281844686,60.07927835961325,Europe & Central Asia,Central Asia,Asia
Turks and Caicos Islands,turks_and_caicos_islands,TCA,224,21.738972080563304,-72.07549377973987,Latin America & Caribbean,Latin America and the Caribbean,Americas
Tuvalu,tuvalu,TUV,227,-8.037346368335651,178.7163810906522,East Asia & Pacific,Polynesia,Oceania
Uganda,uganda,UGA,226,0.944443321571226,32.25203487988143,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Ukraine,ukraine,UKR,230,48.808795248779056,31.571967451080475,Europe & Central Asia,Eastern Europe,Europe
United Arab Emirates,united_arab_emirates,ARE,225,24.67232462453542,55.13985814148917,Middle East & North Africa,Western Asia,Asia
United Kingdom,united_kingdom,GBR,229,52.71028083856771,-1.6379883329244025,Europe & Central Asia,Northern Europe,Europe
United Republic of Tanzania,united_republic_of_tanzania,TZA,215,-5.47208904225969,35.239310509362255,Sub-Saharan Africa,Sub-Saharan Africa,Africa
United States Virgin Islands,united_states_virgin_islands,VIR,240,18.059552009474643,-64.84935225481608,Latin America & Caribbean,Latin America and the Caribbean,Americas
United States of America,united_states_of_america,USA,231,37.30389874272358,-92.45167400226158,North America,Northern America,Americas
Uruguay,uruguay,URY,234,-34.06979218834716,-56.21358358592144,Latin America & Caribbean,Latin America and the Caribbean,Americas
Uzbekistan,uzbekistan,UZB,235,40.46444715089172,67.65315914483561,Europe & Central Asia,Central Asia,Asia
Vanuatu,vanuatu,VUT,155,-16.825844300298314,168.0428996242403,East Asia & Pacific,Melanesia,Oceania
Venezuela,venezuela,VEN,236,9.748997134845832,-67.9340948203127,Latin America & Caribbean,Latin America and the Caribbean,Americas
Viet Nam,viet_nam,VNM,237,15.441860704428636,106.41838938817324,East Asia & Pacific,South-eastern Asia,Asia
Yemen,yemen,YEM,249,14.735592513756908,44.43427012640807,Middle East & North Africa,Western Asia,Asia
Zambia,zambia,ZMB,251,-13.593902492586516,28.635401583586702,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Zimbabwe,zimbabwe,ZWE,181,-18.6524254761949,30.61816489040184,Sub-Saharan Africa,Sub-Saharan Africa,Africa
