year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind
2038,23,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2039,24,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2040,25,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2041,26,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2042,27,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2043,28,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2044,29,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2045,30,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2046,31,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2047,32,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2048,33,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2049,34,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2050,35,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2010,-5,SVN,0,0.3043869540260066,0.031543883853397896,0.0,0.30093284658711505,0.34929249283385655,0.0,0.0004604870738084703,0.000834705847491277,0.0
2011,-4,SVN,0,0.3138461470741709,0.02891841911219386,0.0,0.24336563712826223,0.3936266365317531,0.0,0.000946184529392745,0.004334895034675425,0.0
2012,-3,SVN,0,0.30965302352502105,0.031958438308573534,0.0,0.2740229632331662,0.3567467406029784,0.0,0.0005417191797978408,0.011007790878300743,0.0
2013,-2,SVN,0,0.28539880327682365,0.02979247635032718,0.0,0.3212870647313031,0.3332650170930674,0.0,0.00040976508853063414,0.014232123584409524,0.0002795296727960915
2014,-1,SVN,0,0.1993269017864354,0.01983202217147627,0.0,0.3813126926094816,0.36778106777626796,0.0,0.0022271355437373974,0.015583759453099056,0.0002555838735313712
2015,0,SVN,0,0.2740569332929201,0.025249478603012913,0.0,0.28434065759700833,0.3788387222893033,0.0,0.0010625398531781062,0.01933918441339295,0.0004252416084598115
2016,1,SVN,0,0.28814051892569925,0.024155479117465035,0.0,0.30382667305817296,0.3494992365522084,0.0,0.0006325866558451232,0.017212470541765102,0.00037182967420886285
2017,2,SVN,0,0.2824261637676204,0.027697449075805125,0.0,0.2654530350343177,0.38780184671321205,0.0,0.0008428827773660079,0.018433991251070418,0.00037143766520885834
2018,3,SVN,0,0.26978214715710536,0.02789962876731402,0.0,0.31302217717960407,0.3557323579978213,0.0,0.001078185136945122,0.01648461505045963,0.0003901522616973234
2019,4,SVN,0,0.26531728206452876,0.03151587398771411,0.0,0.3037699567411707,0.3636348831140931,0.0,0.0006219669278712635,0.01987872995479792,0.0004041730203855465
2020,5,SVN,0,0.2412230090828443,0.03208076862497102,0.0,0.31690500435747093,0.37106260803458446,0.0,0.0005814609099557034,0.022611802922436128,0.0003839898782398335
2021,6,SVN,0,0.2300414864100493,0.03116214273867067,0.0,0.32796016121537835,0.3603182683709307,0.0,0.0034343805068898234,0.03012449207918861,0.00037191231734561876
2022,7,SVN,0,0.22000356337533175,0.0370484087834908,0.0,0.2624656344768127,0.41578430118881554,0.0,0.0038773569732551824,0.04200555914423655,0.00044883152660662843
2023,8,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2024,9,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2025,10,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2026,11,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2027,12,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2028,13,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2029,14,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2030,15,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2031,16,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2032,17,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2033,18,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2034,19,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2035,20,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2036,21,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2037,22,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2038,23,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2039,24,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2040,25,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2041,26,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2042,27,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2043,28,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2044,29,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2045,30,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
2046,31,SVN,0,0.26796945644342746,0.029142651499570186,0.0,0.29989726953455875,0.3679526291614532,0.0,0.00128589624281334,0.017852624627332562,0.0002848216537292266
